date,description,category, amount 
2/27/2016,kadir painting outside ,painting," INR 10,000 "
2/27/2016,false celling kadir firstfloor hall,false celing," INR 20,000 "
2/27/2016,electrician liyakat,lightings," INR 7,000 "
2/28/2016,furniture,Interiors," INR 62,500 "
2/28/2016,misc shopping kitchen,Interiors," INR 2,000 "
2/28/2016,wooden material,wood work," INR 2,500 "
2/27/2016,glass first floor,wood work," INR 6,000 "
3/2/2016,hardware ,Mesanory work," INR 13,122 "
3/2/2016,electric wiring,lightings," INR 15,119 "
3/5/2016,lightings,lightings," INR 30,000 "
3/5/2016,glass first floor,wood work," INR 3,000 "
3/5/2016,misc,misc," INR 2,000 "
3/9/2016,wooden material,wood work," INR 35,000 "
3/6/2016,carpenter niranjan,wood work," INR 10,000 "
3/11/2016,glass first floor,wood work," INR 2,500 "
3/11/2016,wooden material,wood work," INR 17,000 "
3/12/2016,carpenter niranjan,wood work," INR 5,000 "
3/12/2016,kadir false ceiling ,false celing," INR 30,000 "
3/12/2016,kadir painting ,painting," INR 10,000 "
3/12/2016,Woode Polish yadav,wood work," INR 10,000 "
3/14/2016,electrician liyakat,lightings," INR 4,000 "
3/14/2016,lightings,lightings," INR 19,000 "
3/14/2016,wooden material,wood work," INR 3,870 "
3/14/2016,lightings,lightings," INR 17,000 "
3/14/2016,wooden material,wood work," INR 4,146 "
3/14/2016,A/C,misc," INR 2,800 "
3/25/2016,Electric switches,lightings," INR 18,600 "
3/25/2016,lightings,lightings," INR 19,000 "
3/25/2016,wooden material all drops and bolts,wood work," INR 2,800 "
3/25/2016,misc,misc," INR 1,000 "
3/25/2016,carpenter niranjan,wood work," INR 20,000 "
3/26/2016,Wooden Polish yadav,wood work," INR 2,000 "
3/26/2016,Wooden polish yadav,wood work," INR 10,000 "
3/26/2016,Kadir painting,painting," INR 10,000 "
3/26/2016,Kadir false ceiling,false celing," INR 40,000 "
3/30/2016,blinds,Interiors," INR 38,195 "
3/29/2016,wooden material all drops and bolts,wood work," INR 8,610 "
3/29/2016,wooden material tempe floor,wood work," INR 3,000 "
4/1/2016,wooden flooring material kids floor,wood work," INR 17,000 "
4/2/2016,electrician liyakat,lightings," INR 20,000 "
4/2/2016,wooden material beeding,wood work," INR 2,000 "
4/3/2016,carpenter niranjan,wood work," INR 20,000 "
4/3/2016,wooden flooring Niranjan ,wood work," INR 50,000 "
