room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1420294,7646766,Entire home/apt,,3,16,5,3,2,119,1,56.175686,10.165558,46:26.3
6831774,35790175,Entire home/apt,,4,0,,3,2,41,6,56.174121,10.198629,18:29.7
9151705,47646518,Entire home/apt,,24,0,,2,1,74,1,56.169912,10.216073,50:05.7
13637002,31408814,Entire home/apt,,24,0,,3,1,84,3,56.172465,10.214781,36:04.7
11855232,30229367,Entire home/apt,,24,0,,2,1,72,1,56.172944,10.218848,11:26.6
12361781,23209107,Entire home/apt,,24,1,,2,1,45,1,56.17132,10.213837,21:04.5
13502076,77451505,Entire home/apt,,24,0,,2,1,57,3,56.171611,10.218871,40:40.4
10247525,52671671,Entire home/apt,,4,0,,6,2,90,1,56.170098,10.194296,00:49.3
12421122,28360899,Entire home/apt,,24,0,,3,1,61,1,56.17425,10.215149,27:53.4
13412814,76394748,Entire home/apt,,4,0,,5,2,82,3,56.170712,10.195063,02:52.3
2574184,13181440,Entire home/apt,,24,0,,3,2,61,1,56.170956,10.216136,20:27.7
6824592,35747981,Entire home/apt,,4,1,,2,0,45,1,56.174619,10.182134,59:55.0
7844605,15856860,Entire home/apt,,24,0,,2,1,73,4,56.16936,10.209595,28:44.7
14824272,92689021,Entire home/apt,,24,1,,3,1,53,2,56.163811,10.214233,48:31.9
7229663,11161746,Entire home/apt,,24,0,,4,1,98,1,56.159328,10.21073,47:51.6
15369405,50833055,Entire home/apt,,24,0,,2,1,61,1,56.160523,10.206203,52:54.3
13762541,21225269,Entire home/apt,,24,0,,4,2,75,2,56.161046,10.213086,45:46.8
14293486,14135933,Entire home/apt,,24,1,,4,1,129,2,56.160181,10.212387,43:18.6
7427343,38827903,Entire home/apt,,24,1,,2,0,34,3,56.154725,10.209748,30:05.5
14813806,3659870,Entire home/apt,,24,0,,2,0,75,2,56.154764,10.204891,16:45.7
13652561,2871244,Entire home/apt,,24,0,,2,1,121,14,56.154338,10.206364,09:22.8
5088633,26287809,Entire home/apt,,24,1,,3,1,53,2,56.161577,10.213399,25:30.9
12354984,63194287,Entire home/apt,,24,0,,2,1,58,1,56.156074,10.211351,52:14.7
1247774,6799502,Entire home/apt,,24,5,4.5,6,3,181,4,56.160441,10.20494,06:14.6
7674917,40300006,Entire home/apt,,24,0,,2,1,56,1,56.159301,10.211512,25:30.9
6487261,22557169,Entire home/apt,,24,4,4,4,1,68,2,56.156172,10.208609,07:20.1
7320272,38346705,Entire home/apt,,24,0,,2,1,53,5,56.15991,10.214343,20:35.2
7030790,36858868,Entire home/apt,,24,1,,4,1,45,1,56.160978,10.215176,40:19.0
6963704,13012871,Entire home/apt,,24,17,5,4,2,90,5,56.159121,10.210992,11:02.7
8423844,34651816,Entire home/apt,,24,6,5,4,1,32,1,56.170467,10.220297,55:16.5
3027310,6145960,Entire home/apt,,24,1,,4,1,61,2,56.169807,10.21944,57:05.4
7650610,40145550,Entire home/apt,,24,1,,2,2,68,2,56.167932,10.219621,09:07.6
5997336,8873931,Entire home/apt,,24,1,,4,2,135,1,56.166127,10.228381,43:01.9
3149831,9579077,Entire home/apt,,24,2,,4,1,98,1,56.165661,10.22895,59:57.0
12137574,65156069,Entire home/apt,,24,0,,2,1,83,1,56.166164,10.23066,05:06.9
14535144,12873382,Entire home/apt,,24,1,,4,2,136,1,56.164802,10.229239,51:51.5
2796723,1393318,Entire home/apt,,24,19,4.5,3,1,74,1,56.165169,10.230608,22:31.1
11932419,6581105,Entire home/apt,,24,0,,4,2,241,1,56.164481,10.230179,34:54.0
12662775,67890060,Entire home/apt,,24,17,4,4,1,30,1,56.166578,10.224392,28:29.6
5121886,24831247,Entire home/apt,,24,4,4.5,4,1,89,2,56.166019,10.228345,14:39.5
6715047,35157394,Entire home/apt,,24,2,,4,2,85,1,56.167949,10.219937,33:36.0
10357088,53305338,Entire home/apt,,24,2,,4,2,143,6,56.167161,10.219963,34:11.5
11922597,24540411,Entire home/apt,,24,2,,5,2,159,2,56.16397,10.229191,11:27.3
14816099,4288128,Entire home/apt,,24,0,,6,2,136,2,56.164616,10.223746,54:08.8
5418144,2574799,Entire home/apt,,24,0,,4,2,98,2,56.165334,10.229723,29:42.0
